scenario,family,target,n,pearson_r,pearson_ci_low,pearson_ci_high,pearson_p,rmse,rmse_ci_low,rmse_ci_high,r_squared,spearman_r,winner_pearson_holm_p
singleton_uids,ridge,SWB_nn,85,0.15386278704861645,-0.061270468857476848,0.35533477972324062,0.15974534283799277,0.1753290434348953,0.15194927871393532,0.19890713142077868,-0.02598933274998827,0.11451960174143899,
singleton_uids,ridge,SWB_pp,85,0.26454892255242785,0.054497504073564899,0.45217839769467855,0.01441838363533845,0.16163697616820233,0.1366199878808852,0.18669099894702676,0.051871693667200125,0.3622283431046377,
singleton_uids,ridge,SWB_avg,85,0.15576691233249795,-0.059326678722601507,0.3570381566759252,0.15457912776331093,0.20704079152970609,0.18631756108659173,0.22782872885885302,0.021651475255443642,0.17459097548529667,
singleton_uids,single_rf,SWB_nn,85,0.2141660942013684,0.001091847497552064,0.40863830957962455,0.049047408376228702,0.1722530825720496,0.14708656327920425,0.19625327153583133,0.0096946531706456618,0.21615061046514816,
singleton_uids,single_rf,SWB_pp,85,0.30690114950510727,0.10034011545041877,0.48809960102932243,0.0042782479323214655,0.16051841152973223,0.13744353068937731,0.18259024421551989,0.064948815283415451,0.27150731545631196,
singleton_uids,single_rf,SWB_avg,85,0.1701245311132871,-0.04461726844542821,0.36983912226718618,0.11956119182496081,0.20659290655318072,0.18424555187102196,0.22763228443846428,0.025879759391330581,0.15674420256224542,
singleton_uids,single_et,SWB_nn,85,0.33598110936889924,0.13233280504479134,0.51241348363741079,0.0016685576236282426,0.17140051177623086,0.14708614917050955,0.19487686957507228,0.019473473381438122,0.31572649046165657,
singleton_uids,single_et,SWB_pp,85,0.31050113507005322,0.10427765400462126,0.49112489560411965,0.003826255173063078,0.16139114687494302,0.13790240411542257,0.1844918769706928,0.054753465848307648,0.27577469791986464,
singleton_uids,single_et,SWB_avg,85,0.15512153363717165,-0.059985684092064437,0.35646096896248775,0.15631599973790455,0.207188241747571,0.18481563477687529,0.22933900668981982,0.020257459412012291,0.085337531305670691,
singleton_uids,single_hgb,SWB_nn,85,0.22131735357837795,0.0085988622739736412,0.41487269707110819,0.041795522061139359,0.17179595546388546,0.1461667473725394,0.19846850648323378,0.01494384498336343,0.19835906748395377,
singleton_uids,single_hgb,SWB_pp,85,0.27428487576894167,0.064958025455827795,0.46049021457386602,0.011077062794707973,0.16076503491651456,0.13487553662500354,0.18455990822374535,0.062073348961386832,0.2843192504214278,
singleton_uids,single_hgb,SWB_avg,85,0.081470162632006793,-0.13398025343798617,0.2895664301814363,0.45855406544880012,0.21469147303800259,0.18875346333694779,0.23952399522794282,-0.051989360169673704,0.060863075843450125,
singleton_uids,joint_rf,SWB_nn,85,0.3034675153443992,0.096590545299794259,0.48521003931501899,0.0047530247413572072,0.17087427370015301,0.14698024837083259,0.19457469363152574,0.025485104086161225,0.28548673918998962,
singleton_uids,joint_rf,SWB_pp,85,0.30148203192001277,0.094425049381660159,0.48353735006077864,0.0050484282975137903,0.16136603191738669,0.13849778496658424,0.18388980064929589,0.055047632906453314,0.25861707989553467,
singleton_uids,joint_rf,SWB_avg,85,0.17255738848391516,-0.042115541294756864,0.37200072256472833,0.11428649139034969,0.2065113423273863,0.18490210758122458,0.22859002489685393,0.026648785591004809,0.18121865802446604,
singleton_uids,joint_et,SWB_nn,85,0.3502180674588356,0.14815203851984837,0.52421480726898473,0.0010170699377007124,0.17183152916602765,0.14855812280166761,0.19482904229350737,0.014535852580612518,0.33417371737010065,
singleton_uids,joint_et,SWB_pp,85,0.36246695435489479,0.16184550764735492,0.53431497207581991,0.00065199268868564616,0.16189347811051397,0.13797476100202902,0.18442409098702939,0.048860133781127413,0.35679623928061993,
singleton_uids,joint_et,SWB_avg,85,0.21066676650881522,-0.002572831849932314,0.40558100788767731,0.052956894336377631,0.20641018459609364,0.18481650399278005,0.2273407461007142,0.027602126788893955,0.15910354006880348,
singleton_uids,multitask_en,SWB_nn,85,0.28442061176227762,0.075897179181673352,0.46910878293703773,0.0083365461928078949,0.17225076847905263,0.14878008254861619,0.19513544726029047,0.0097212610343816452,0.32605106573402182,
singleton_uids,multitask_en,SWB_pp,85,0.3359063985921712,0.13225006374891765,0.51235137797755892,0.0016727967119946614,0.16200385043175353,0.1381010693050615,0.18432517800081283,0.047562795538184766,0.35040495315974851,
singleton_uids,multitask_en,SWB_avg,85,0.14812337246241364,-0.067119585717748634,0.35019235281013711,0.17609203739287393,0.20766903570291947,0.18649197378456273,0.22855301410835469,0.015705069338307287,0.20652524497240207,
restricted_features,mean,SWB_nn,104,,,,,0.16949217610957298,0.14914969146550008,0.18973802810905188,-0.020586951544324439,,
restricted_features,mean,SWB_pp,104,,,,,0.1696342018337145,0.14651422927511068,0.19267298268728722,-0.016223092245179815,,
restricted_features,mean,SWB_avg,104,,,,,0.20484879992365415,0.18407130621058032,0.22357099832975116,-0.0092226959348737925,,
restricted_features,ridge,SWB_nn,104,0.27534415979803351,0.087390058520048206,0.4443683983173784,0.0046703615798577977,0.16886172675630287,0.14919368829791468,0.18857547796271876,-0.013008646299586424,0.23451472200751586,
